Liquidity_ItemId;Liquidity_ItemDescription;VersionVersion;TimeDATE;TimeMonth;Transaction_CurrencyId;Transaction_CurrencyDescription;Company_CodeId;Company_CodeDescription;Amount;AmountUnit
SUGAR;Sugar Expenses;Actual;01/07/2018;201807;EUR;Euro;1000;BestRun Germany;692152.56;EUR
SUGAR;Sugar Expenses;Actual;01/08/2019;201908;GBP;Pound Sterling;4000;BestRun Switzerland;14471.81;GBP
SUGAR;Sugar Expenses;Actual;01/07/2017;201707;EUR;Euro;1000;BestRun Germany;1111443.39;EUR
SUGAR;Sugar Expenses;Actual;01/10/2016;201610;GBP;Pound Sterling;2000;BestRun UK;102238.65;GBP
SUGAR;Sugar Expenses;Actual;01/01/2019;201901;GBP;Pound Sterling;4000;BestRun Switzerland;19219.07;GBP
SUGAR;Sugar Expenses;Actual;01/10/2018;201810;GBP;Pound Sterling;2000;BestRun UK;111151.94;GBP
SUGAR;Sugar Expenses;Actual;01/02/2015;201502;GBP;Pound Sterling;2000;BestRun UK;57878.06;GBP
SUGAR;Sugar Expenses;Actual;01/04/2020;202004;GBP;Pound Sterling;2000;BestRun UK;45344.83;GBP
SUGAR;Sugar Expenses;Actual;01/07/2018;201807;CHF;Swiss Franc;4000;BestRun Switzerland;15502.76;CHF
SUGAR;Sugar Expenses;Actual;01/06/2022;202206;CHF;Swiss Franc;4000;BestRun Switzerland;0;CHF
SUGAR;Sugar Expenses;Actual;01/11/2022;202211;USD;US Dollar;4000;BestRun Switzerland;0;USD
SUGAR;Sugar Expenses;Actual;01/06/2015;201506;GBP;Pound Sterling;4000;BestRun Switzerland;22707.6;GBP
SUGAR;Sugar Expenses;Actual;01/07/2021;202107;GBP;Pound Sterling;4000;BestRun Switzerland;21233.59;GBP
SUGAR;Sugar Expenses;Actual;01/06/2022;202206;EUR;Euro;4000;BestRun Switzerland;0;EUR
SUGAR;Sugar Expenses;Actual;01/12/2020;202012;EUR;Euro;1000;BestRun Germany;404443.45;EUR
SUGAR;Sugar Expenses;Actual;01/04/2019;201904;CHF;Swiss Franc;4000;BestRun Switzerland;8819.15;CHF
SUGAR;Sugar Expenses;Actual;01/05/2021;202105;USD;US Dollar;4000;BestRun Switzerland;96268.68;USD
SUGAR;Sugar Expenses;Actual;01/07/2022;202207;EUR;Euro;4000;BestRun Switzerland;0;EUR
SUGAR;Sugar Expenses;Actual;01/05/2019;201905;CHF;Swiss Franc;4000;BestRun Switzerland;11559.18;CHF
SUGAR;Sugar Expenses;Actual;01/02/2022;202202;GBP;Pound Sterling;2000;BestRun UK;0;GBP
SUGAR;Sugar Expenses;Actual;01/04/2015;201504;GBP;Pound Sterling;4000;BestRun Switzerland;21469.94;GBP
SUGAR;Sugar Expenses;Actual;01/11/2016;201611;USD;US Dollar;4000;BestRun Switzerland;131698.68;USD
SUGAR;Sugar Expenses;Actual;01/07/2016;201607;CHF;Swiss Franc;4000;BestRun Switzerland;13279.52;CHF
SUGAR;Sugar Expenses;Actual;01/02/2018;201802;EUR;Euro;1000;BestRun Germany;756862.33;EUR
SUGAR;Sugar Expenses;Actual;01/06/2016;201606;USD;US Dollar;3000;BestRun USA;478547.83;USD
SUGAR;Sugar Expenses;Actual;01/06/2019;201906;CHF;Swiss Franc;4000;BestRun Switzerland;10021.66;CHF
SUGAR;Sugar Expenses;Actual;01/01/2021;202101;USD;US Dollar;4000;BestRun Switzerland;73223.21;USD
SUGAR;Sugar Expenses;Actual;01/04/2019;201904;GBP;Pound Sterling;2000;BestRun UK;63387.95;GBP
SUGAR;Sugar Expenses;Actual;01/12/2016;201612;EUR;Euro;1000;BestRun Germany;657404.1;EUR
SUGAR;Sugar Expenses;Actual;01/01/2016;201601;GBP;Pound Sterling;2000;BestRun UK;46919.01;GBP
SUGAR;Sugar Expenses;Actual;01/01/2015;201501;USD;US Dollar;3000;BestRun USA;412451.4;USD
SUGAR;Sugar Expenses;Actual;01/09/2019;201909;CHF;Swiss Franc;4000;BestRun Switzerland;8055.11;CHF
SUGAR;Sugar Expenses;Actual;01/04/2017;201704;GBP;Pound Sterling;4000;BestRun Switzerland;32278.83;GBP
CASH_IN;Cash In related to operating activities;Actual;01/03/2016;201603;EUR;Euro;4000;BestRun Switzerland;-666798.93;EUR
CASH_IN;Cash In related to operating activities;Actual;01/06/2015;201506;USD;US Dollar;4000;BestRun Switzerland;-842706.11;USD
CASH_IN;Cash In related to operating activities;Actual;01/11/2017;201711;USD;US Dollar;3000;BestRun USA;-3974205.38;USD
CASH_IN;Cash In related to operating activities;Actual;01/01/2019;201901;USD;US Dollar;3000;BestRun USA;-3761494.23;USD
CASH_IN;Cash In related to operating activities;Actual;01/05/2015;201505;CHF;Swiss Franc;4000;BestRun Switzerland;-80873.16;CHF
CASH_IN;Cash In related to operating activities;Actual;01/05/2017;201705;USD;US Dollar;3000;BestRun USA;-5735132.94;USD
CASH_IN;Cash In related to operating activities;Actual;01/03/2021;202103;EUR;Euro;4000;BestRun Switzerland;-695596.95;EUR
CASH_IN;Cash In related to operating activities;Actual;01/04/2018;201804;EUR;Euro;4000;BestRun Switzerland;-872604.86;EUR
CASH_IN;Cash In related to operating activities;Actual;01/08/2018;201808;CHF;Swiss Franc;4000;BestRun Switzerland;-82717.5;CHF
CASH_IN;Cash In related to operating activities;Actual;01/01/2015;201501;USD;US Dollar;4000;BestRun Switzerland;-792951.45;USD
CASH_IN;Cash In related to operating activities;Actual;01/07/2022;202207;USD;US Dollar;4000;BestRun Switzerland;0;USD
CASH_IN;Cash In related to operating activities;Actual;01/02/2017;201702;EUR;Euro;4000;BestRun Switzerland;-724986.51;EUR
CASH_IN;Cash In related to operating activities;Actual;01/04/2015;201504;EUR;Euro;4000;BestRun Switzerland;-695297.09;EUR
CASH_IN;Cash In related to operating activities;Actual;01/12/2015;201512;EUR;Euro;1000;BestRun Germany;-3846448.02;EUR
CASH_IN;Cash In related to operating activities;Actual;01/09/2022;202209;EUR;Euro;4000;BestRun Switzerland;0;EUR
CASH_IN;Cash In related to operating activities;Actual;01/05/2015;201505;GBP;Pound Sterling;2000;BestRun UK;-722898.98;GBP
CASH_IN;Cash In related to operating activities;Actual;01/07/2018;201807;USD;US Dollar;4000;BestRun Switzerland;-833016.74;USD
CASH_IN;Cash In related to operating activities;Actual;01/09/2020;202009;GBP;Pound Sterling;4000;BestRun Switzerland;-147306.05;GBP
CASH_IN;Cash In related to operating activities;Actual;01/08/2019;201908;USD;US Dollar;4000;BestRun Switzerland;-779634.44;USD
CASH_IN;Cash In related to operating activities;Actual;01/04/2019;201904;EUR;Euro;1000;BestRun Germany;-4063960.81;EUR
CASH_IN;Cash In related to operating activities;Actual;01/11/2015;201511;CHF;Swiss Franc;4000;BestRun Switzerland;-60562.01;CHF
CASH_IN;Cash In related to operating activities;Actual;01/06/2020;202006;GBP;Pound Sterling;2000;BestRun UK;-1076840.17;GBP
CASH_IN;Cash In related to operating activities;Actual;01/09/2016;201609;USD;US Dollar;4000;BestRun Switzerland;-778257.83;USD
CASH_IN;Cash In related to operating activities;Actual;01/03/2019;201903;CHF;Swiss Franc;4000;BestRun Switzerland;-73409.41;CHF
CASH_IN;Cash In related to operating activities;Actual;01/08/2020;202008;GBP;Pound Sterling;4000;BestRun Switzerland;-175151.96;GBP
CASH_IN;Cash In related to operating activities;Actual;01/01/2019;201901;EUR;Euro;4000;BestRun Switzerland;-705522.46;EUR
CASH_IN;Cash In related to operating activities;Actual;01/07/2021;202107;EUR;Euro;4000;BestRun Switzerland;-732602.27;EUR
CASH_IN;Cash In related to operating activities;Actual;01/06/2017;201706;USD;US Dollar;4000;BestRun Switzerland;-1049261.75;USD
ENERGY;Energy Expenses;Actual;01/02/2021;202102;USD;US Dollar;4000;BestRun Switzerland;43260.03;USD
CASH_IN;Cash In related to operating activities;Actual;01/09/2022;202209;GBP;Pound Sterling;4000;BestRun Switzerland;0;GBP
ENERGY;Energy Expenses;Actual;01/08/2021;202108;EUR;Euro;1000;BestRun Germany;363800.15;EUR
ENERGY;Energy Expenses;Actual;01/03/2016;201603;EUR;Euro;1000;BestRun Germany;433162.51;EUR
ENERGY;Energy Expenses;Actual;01/05/2021;202105;GBP;Pound Sterling;2000;BestRun UK;53095.82;GBP
ENERGY;Energy Expenses;Actual;01/02/2017;201702;EUR;Euro;1000;BestRun Germany;381644.27;EUR
CASH_IN;Cash In related to operating activities;Actual;01/04/2016;201604;EUR;Euro;4000;BestRun Switzerland;-708138.53;EUR
ENERGY;Energy Expenses;Actual;01/10/2016;201610;GBP;Pound Sterling;2000;BestRun UK;83483.82;GBP
CASH_IN;Cash In related to operating activities;Actual;01/10/2021;202110;USD;US Dollar;3000;BestRun USA;-3946813.49;USD
ENERGY;Energy Expenses;Actual;01/08/2016;201608;CHF;Swiss Franc;4000;BestRun Switzerland;12422.87;CHF
ENERGY;Energy Expenses;Actual;01/02/2021;202102;GBP;Pound Sterling;4000;BestRun Switzerland;9657.62;GBP
MILK;Milk Expenses;Actual;01/06/2021;202106;USD;US Dollar;4000;BestRun Switzerland;259669.88;USD
MILK;Milk Expenses;Actual;01/04/2022;202204;USD;US Dollar;4000;BestRun Switzerland;0;USD
ENERGY;Energy Expenses;Actual;01/06/2018;201806;CHF;Swiss Franc;4000;BestRun Switzerland;6388.52;CHF
ENERGY;Energy Expenses;Actual;01/02/2017;201702;USD;US Dollar;3000;BestRun USA;366501.46;USD
CASH_IN;Cash In related to operating activities;Actual;01/09/2018;201809;USD;US Dollar;3000;BestRun USA;-3762141.84;USD
MILK;Milk Expenses;Actual;01/04/2021;202104;EUR;Euro;1000;BestRun Germany;1221057.6;EUR
ENERGY;Energy Expenses;Actual;01/07/2015;201507;USD;US Dollar;3000;BestRun USA;449235.16;USD
MILK;Milk Expenses;Actual;01/08/2019;201908;EUR;Euro;1000;BestRun Germany;927911.2;EUR
ENERGY;Energy Expenses;Actual;01/09/2018;201809;USD;US Dollar;3000;BestRun USA;214945.14;USD
CASH_IN;Cash In related to operating activities;Actual;01/02/2020;202002;CHF;Swiss Franc;4000;BestRun Switzerland;-61190.24;CHF
MILK;Milk Expenses;Actual;01/04/2016;201604;USD;US Dollar;3000;BestRun USA;836931.44;USD
CASH_IN;Cash In related to operating activities;Actual;01/10/2019;201910;EUR;Euro;1000;BestRun Germany;-3828919.8;EUR
MILK;Milk Expenses;Actual;01/04/2018;201804;GBP;Pound Sterling;4000;BestRun Switzerland;59024.44;GBP
MILK;Milk Expenses;Actual;01/04/2020;202004;GBP;Pound Sterling;4000;BestRun Switzerland;45493.2;GBP
CASH_IN;Cash In related to operating activities;Actual;01/12/2020;202012;EUR;Euro;1000;BestRun Germany;-3680335.56;EUR
MILK;Milk Expenses;Actual;01/11/2019;201911;USD;US Dollar;4000;BestRun Switzerland;179002.62;USD
CASH_IN;Cash In related to operating activities;Actual;01/03/2017;201703;EUR;Euro;4000;BestRun Switzerland;-838817.96;EUR
CASH_IN;Cash In related to operating activities;Actual;01/03/2016;201603;GBP;Pound Sterling;2000;BestRun UK;-595837.6;GBP
CASH_IN;Cash In related to operating activities;Actual;01/03/2015;201503;EUR;Euro;4000;BestRun Switzerland;-662237.67;EUR
MILK;Milk Expenses;Actual;01/04/2019;201904;CHF;Swiss Franc;4000;BestRun Switzerland;18796.84;CHF
MILK;Milk Expenses;Actual;01/10/2019;201910;USD;US Dollar;4000;BestRun Switzerland;195345.38;USD
MILK;Milk Expenses;Actual;01/01/2022;202201;CHF;Swiss Franc;4000;BestRun Switzerland;0;CHF
CASH_IN;Cash In related to operating activities;Actual;01/08/2019;201908;GBP;Pound Sterling;4000;BestRun Switzerland;-165245.5;GBP
MILK;Milk Expenses;Actual;01/09/2015;201509;GBP;Pound Sterling;2000;BestRun UK;135915.66;GBP
SUGAR;Sugar Expenses;Actual;01/12/2020;202012;EUR;Euro;4000;BestRun Switzerland;89644.5;EUR
CASH_IN;Cash In related to operating activities;Actual;01/04/2018;201804;EUR;Euro;1000;BestRun Germany;-4822919.8;EUR
SUGAR;Sugar Expenses;Actual;01/12/2021;202112;CHF;Swiss Franc;4000;BestRun Switzerland;14502.41;CHF
CASH_IN;Cash In related to operating activities;Actual;01/02/2021;202102;GBP;Pound Sterling;4000;BestRun Switzerland;-127599.16;GBP
SUGAR;Sugar Expenses;Actual;01/02/2016;201602;GBP;Pound Sterling;2000;BestRun UK;37727.67;GBP
MILK;Milk Expenses;Actual;01/10/2020;202010;EUR;Euro;1000;BestRun Germany;1139264.08;EUR
SUGAR;Sugar Expenses;Actual;01/01/2015;201501;EUR;Euro;1000;BestRun Germany;432669.38;EUR
MILK;Milk Expenses;Actual;01/02/2019;201902;USD;US Dollar;4000;BestRun Switzerland;136531.68;USD
ENERGY;Energy Expenses;Actual;01/05/2021;202105;EUR;Euro;1000;BestRun Germany;333978.78;EUR
MILK;Milk Expenses;Actual;01/09/2019;201909;GBP;Pound Sterling;2000;BestRun UK;154070.9;GBP
MILK;Milk Expenses;Actual;01/01/2018;201801;EUR;Euro;1000;BestRun Germany;1313550.19;EUR
SUGAR;Sugar Expenses;Actual;01/09/2016;201609;EUR;Euro;1000;BestRun Germany;563326.47;EUR
MILK;Milk Expenses;Actual;01/02/2016;201602;CHF;Swiss Franc;4000;BestRun Switzerland;15541.26;CHF
ENERGY;Energy Expenses;Actual;01/10/2017;201710;EUR;Euro;1000;BestRun Germany;364344.99;EUR
MILK;Milk Expenses;Actual;01/05/2020;202005;GBP;Pound Sterling;2000;BestRun UK;224578.91;GBP
CASH_IN;Cash In related to operating activities;Actual;01/08/2021;202108;GBP;Pound Sterling;2000;BestRun UK;-643605.42;GBP
SUGAR;Sugar Expenses;Actual;01/04/2017;201704;USD;US Dollar;3000;BestRun USA;696170.38;USD
MILK;Milk Expenses;Actual;01/10/2019;201910;EUR;Euro;4000;BestRun Switzerland;217876.29;EUR
ENERGY;Energy Expenses;Actual;01/04/2015;201504;GBP;Pound Sterling;2000;BestRun UK;48830.61;GBP
MILK;Milk Expenses;Actual;01/12/2019;201912;USD;US Dollar;4000;BestRun Switzerland;191011.49;USD
CASH_IN;Cash In related to operating activities;Actual;01/03/2018;201803;EUR;Euro;4000;BestRun Switzerland;-939290.05;EUR
SUGAR;Sugar Expenses;Actual;01/09/2021;202109;GBP;Pound Sterling;4000;BestRun Switzerland;20741.5;GBP
SUGAR;Sugar Expenses;Actual;01/07/2020;202007;GBP;Pound Sterling;2000;BestRun UK;67016.95;GBP
SUGAR;Sugar Expenses;Actual;01/12/2017;201712;EUR;Euro;4000;BestRun Switzerland;203425.83;EUR
SUGAR;Sugar Expenses;Actual;01/06/2021;202106;EUR;Euro;4000;BestRun Switzerland;115268.62;EUR
SUGAR;Sugar Expenses;Actual;01/11/2016;201611;GBP;Pound Sterling;2000;BestRun UK;105304.65;GBP
MILK;Milk Expenses;Actual;01/03/2022;202203;EUR;Euro;4000;BestRun Switzerland;0;EUR
CASH_IN;Cash In related to operating activities;Actual;01/11/2019;201911;GBP;Pound Sterling;2000;BestRun UK;-589467.78;GBP
MILK;Milk Expenses;Actual;01/08/2016;201608;USD;US Dollar;3000;BestRun USA;1025078.88;USD
MILK;Milk Expenses;Actual;01/11/2021;202111;EUR;Euro;4000;BestRun Switzerland;205550.46;EUR
SUGAR;Sugar Expenses;Actual;01/04/2018;201804;CHF;Swiss Franc;4000;BestRun Switzerland;15936.43;CHF
ENERGY;Energy Expenses;Actual;01/02/2020;202002;USD;US Dollar;4000;BestRun Switzerland;46090.91;USD
CASH_IN;Cash In related to operating activities;Actual;01/01/2017;201701;EUR;Euro;1000;BestRun Germany;-4939841.74;EUR
MILK;Milk Expenses;Actual;01/08/2019;201908;USD;US Dollar;3000;BestRun USA;887946.32;USD
SUGAR;Sugar Expenses;Actual;01/08/2015;201508;GBP;Pound Sterling;2000;BestRun UK;57231.67;GBP
MILK;Milk Expenses;Actual;01/11/2021;202111;CHF;Swiss Franc;4000;BestRun Switzerland;20738.35;CHF
LABOR;Labor;Actual;01/06/2020;202006;EUR;Euro;1000;BestRun Germany;522960;EUR
MILK;Milk Expenses;Actual;01/08/2015;201508;GBP;Pound Sterling;2000;BestRun UK;152794.52;GBP
MILK;Milk Expenses;Actual;01/04/2015;201504;USD;US Dollar;4000;BestRun Switzerland;152974.54;USD
CASH_IN;Cash In related to operating activities;Actual;01/12/2022;202212;USD;US Dollar;4000;BestRun Switzerland;0;USD
ENERGY;Energy Expenses;Actual;01/01/2020;202001;USD;US Dollar;3000;BestRun USA;223613.15;USD
ENERGY;Energy Expenses;Actual;01/03/2022;202203;GBP;Pound Sterling;4000;BestRun Switzerland;0;GBP
LABOR;Labor;Actual;01/08/2022;202208;USD;US Dollar;4000;BestRun Switzerland;0;USD
MILK;Milk Expenses;Actual;01/05/2018;201805;GBP;Pound Sterling;4000;BestRun Switzerland;56831.57;GBP
LABOR;Labor;Actual;01/06/2016;201606;EUR;Euro;4000;BestRun Switzerland;103260;EUR
MILK;Milk Expenses;Actual;01/04/2022;202204;CHF;Swiss Franc;4000;BestRun Switzerland;0;CHF
SUGAR;Sugar Expenses;Actual;01/04/2015;201504;USD;US Dollar;4000;BestRun Switzerland;96868.52;USD
CASH_IN;Cash In related to operating activities;Actual;01/10/2020;202010;EUR;Euro;1000;BestRun Germany;-4052915.2;EUR
MILK;Milk Expenses;Actual;01/06/2018;201806;USD;US Dollar;4000;BestRun Switzerland;262643.25;USD
LABOR;Labor;Actual;01/12/2019;201912;GBP;Pound Sterling;4000;BestRun Switzerland;23312;GBP
MILK;Milk Expenses;Actual;01/05/2017;201705;EUR;Euro;4000;BestRun Switzerland;431980.42;EUR
CASH_IN;Cash In related to operating activities;Actual;01/10/2022;202210;CHF;Swiss Franc;4000;BestRun Switzerland;0;CHF
CASH_IN;Cash In related to operating activities;Actual;01/11/2018;201811;EUR;Euro;1000;BestRun Germany;-4542840.71;EUR
LABOR;Labor;Actual;01/06/2021;202106;USD;US Dollar;3000;BestRun USA;517080;USD
CASH_IN;Cash In related to operating activities;Actual;01/11/2020;202011;EUR;Euro;1000;BestRun Germany;-3762848.3;EUR
MILK;Milk Expenses;Actual;01/09/2017;201709;EUR;Euro;1000;BestRun Germany;1577264.8;EUR
LABOR;Labor;Actual;01/10/2018;201810;GBP;Pound Sterling;4000;BestRun Switzerland;22630;GBP
LABOR;Labor;Actual;01/06/2022;202206;USD;US Dollar;3000;BestRun USA;0;USD
CASH_IN;Cash In related to operating activities;Actual;01/02/2017;201702;USD;US Dollar;4000;BestRun Switzerland;-731537.04;USD
ENERGY;Energy Expenses;Actual;01/05/2021;202105;GBP;Pound Sterling;4000;BestRun Switzerland;14916.57;GBP
CASH_IN;Cash In related to operating activities;Actual;01/06/2019;201906;CHF;Swiss Franc;4000;BestRun Switzerland;-84136.52;CHF
CASH_IN;Cash In related to operating activities;Actual;01/06/2022;202206;USD;US Dollar;4000;BestRun Switzerland;0;USD
LABOR;Labor;Actual;01/12/2019;201912;GBP;Pound Sterling;2000;BestRun UK;83948;GBP
ENERGY;Energy Expenses;Actual;01/08/2021;202108;GBP;Pound Sterling;2000;BestRun UK;58067.58;GBP
ENERGY;Energy Expenses;Actual;01/04/2018;201804;USD;US Dollar;3000;BestRun USA;314528.24;USD
LABOR;Labor;Actual;01/02/2017;201702;GBP;Pound Sterling;2000;BestRun UK;71456;GBP
ENERGY;Energy Expenses;Actual;01/09/2019;201909;USD;US Dollar;3000;BestRun USA;257943.87;USD
CASH_IN;Cash In related to operating activities;Actual;01/08/2015;201508;CHF;Swiss Franc;4000;BestRun Switzerland;-68171.98;CHF
ENERGY;Energy Expenses;Actual;01/09/2021;202109;EUR;Euro;1000;BestRun Germany;329044.56;EUR
SUGAR;Sugar Expenses;Actual;01/01/2017;201701;GBP;Pound Sterling;4000;BestRun Switzerland;30203.33;GBP
CASH_IN;Cash In related to operating activities;Actual;01/02/2019;201902;CHF;Swiss Franc;4000;BestRun Switzerland;-62548.4;CHF
CASH_IN;Cash In related to operating activities;Actual;01/05/2016;201605;CHF;Swiss Franc;4000;BestRun Switzerland;-78679.31;CHF
ENERGY;Energy Expenses;Actual;01/05/2016;201605;USD;US Dollar;3000;BestRun USA;532578.25;USD
LABOR;Labor;Actual;01/10/2017;201710;USD;US Dollar;4000;BestRun Switzerland;98890;USD
SUGAR;Sugar Expenses;Actual;01/01/2015;201501;CHF;Swiss Franc;4000;BestRun Switzerland;9617.13;CHF
MILK;Milk Expenses;Actual;01/06/2020;202006;CHF;Swiss Franc;4000;BestRun Switzerland;40817.21;CHF
SUGAR;Sugar Expenses;Actual;01/04/2022;202204;EUR;Euro;1000;BestRun Germany;0;EUR
MILK;Milk Expenses;Actual;01/09/2017;201709;GBP;Pound Sterling;4000;BestRun Switzerland;70720.61;GBP
ENERGY;Energy Expenses;Actual;01/04/2021;202104;GBP;Pound Sterling;4000;BestRun Switzerland;13960.94;GBP
SUGAR;Sugar Expenses;Actual;01/05/2020;202005;EUR;Euro;1000;BestRun Germany;323232.86;EUR
CASH_IN;Cash In related to operating activities;Actual;01/02/2018;201802;EUR;Euro;1000;BestRun Germany;-4609128.24;EUR
SUGAR;Sugar Expenses;Actual;01/02/2019;201902;EUR;Euro;1000;BestRun Germany;360303.08;EUR
SUGAR;Sugar Expenses;Actual;01/08/2020;202008;USD;US Dollar;3000;BestRun USA;345990.55;USD
CASH_IN;Cash In related to operating activities;Actual;01/03/2019;201903;EUR;Euro;4000;BestRun Switzerland;-733663.86;EUR
MILK;Milk Expenses;Actual;01/03/2018;201803;EUR;Euro;4000;BestRun Switzerland;322648.41;EUR
MILK;Milk Expenses;Actual;01/02/2020;202002;USD;US Dollar;3000;BestRun USA;770625.84;USD
LABOR;Labor;Actual;01/06/2016;201606;GBP;Pound Sterling;2000;BestRun UK;74340;GBP
LABOR;Labor;Actual;01/12/2017;201712;EUR;Euro;1000;BestRun Germany;494512;EUR
MILK;Milk Expenses;Actual;01/09/2017;201709;GBP;Pound Sterling;2000;BestRun UK;255858.29;GBP
LABOR;Labor;Actual;01/06/2016;201606;CHF;Swiss Franc;4000;BestRun Switzerland;10320;CHF
MILK;Milk Expenses;Actual;01/09/2020;202009;USD;US Dollar;3000;BestRun USA;1076389.68;USD
MILK;Milk Expenses;Actual;01/06/2019;201906;GBP;Pound Sterling;2000;BestRun UK;167259.89;GBP
LABOR;Labor;Actual;01/07/2019;201907;EUR;Euro;1000;BestRun Germany;524644;EUR
ENERGY;Energy Expenses;Actual;01/08/2016;201608;USD;US Dollar;4000;BestRun Switzerland;112185.73;USD
MILK;Milk Expenses;Actual;01/06/2017;201706;EUR;Euro;1000;BestRun Germany;1950454.64;EUR
ENERGY;Energy Expenses;Actual;01/09/2016;201609;GBP;Pound Sterling;4000;BestRun Switzerland;23223.46;GBP
MILK;Milk Expenses;Actual;01/10/2021;202110;EUR;Euro;1000;BestRun Germany;1037457;EUR
MILK;Milk Expenses;Actual;01/08/2021;202108;GBP;Pound Sterling;2000;BestRun UK;154283.1;GBP
SUGAR;Sugar Expenses;Actual;01/02/2017;201702;GBP;Pound Sterling;4000;BestRun Switzerland;21505.25;GBP
ENERGY;Energy Expenses;Actual;01/06/2015;201506;USD;US Dollar;3000;BestRun USA;474500.58;USD
MILK;Milk Expenses;Actual;01/03/2017;201703;GBP;Pound Sterling;4000;BestRun Switzerland;67705.47;GBP
SUGAR;Sugar Expenses;Actual;01/09/2021;202109;EUR;Euro;4000;BestRun Switzerland;102721.19;EUR
MILK;Milk Expenses;Actual;01/03/2020;202003;USD;US Dollar;3000;BestRun USA;769289.22;USD
MILK;Milk Expenses;Actual;01/08/2018;201808;CHF;Swiss Franc;4000;BestRun Switzerland;26259.66;CHF
SUGAR;Sugar Expenses;Actual;01/02/2022;202202;CHF;Swiss Franc;4000;BestRun Switzerland;0;CHF
MILK;Milk Expenses;Actual;01/09/2019;201909;GBP;Pound Sterling;4000;BestRun Switzerland;43433.68;GBP
SUGAR;Sugar Expenses;Actual;01/01/2016;201601;EUR;Euro;1000;BestRun Germany;294320.86;EUR
ENERGY;Energy Expenses;Actual;01/06/2020;202006;EUR;Euro;1000;BestRun Germany;393590.52;EUR
LABOR;Labor;Actual;01/09/2018;201809;CHF;Swiss Franc;4000;BestRun Switzerland;10950;CHF
MILK;Milk Expenses;Actual;01/06/2018;201806;USD;US Dollar;3000;BestRun USA;1268465.31;USD
ENERGY;Energy Expenses;Actual;01/11/2020;202011;EUR;Euro;4000;BestRun Switzerland;54323.81;EUR
MILK;Milk Expenses;Actual;01/11/2021;202111;EUR;Euro;1000;BestRun Germany;935761.08;EUR
MILK;Milk Expenses;Actual;01/05/2021;202105;GBP;Pound Sterling;2000;BestRun UK;240899.88;GBP
MILK;Milk Expenses;Actual;01/01/2018;201801;USD;US Dollar;4000;BestRun Switzerland;263508.81;USD
ENERGY;Energy Expenses;Actual;01/05/2019;201905;GBP;Pound Sterling;2000;BestRun UK;68061.73;GBP
MILK;Milk Expenses;Actual;01/02/2018;201802;GBP;Pound Sterling;4000;BestRun Switzerland;58580.99;GBP
LABOR;Labor;Actual;01/05/2019;201905;EUR;Euro;4000;BestRun Switzerland;116591;EUR
SUGAR;Sugar Expenses;Actual;01/04/2020;202004;EUR;Euro;4000;BestRun Switzerland;62646.04;EUR
MILK;Milk Expenses;Actual;01/07/2018;201807;USD;US Dollar;4000;BestRun Switzerland;269641.93;USD
MILK;Milk Expenses;Actual;01/08/2015;201508;EUR;Euro;4000;BestRun Switzerland;210572.52;EUR
LABOR;Labor;Actual;01/03/2021;202103;CHF;Swiss Franc;4000;BestRun Switzerland;12369;CHF
